tempo,quantidadePAs,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,kConnectivity,density,number_of_cars
187,10,0.0060,2.8000,0.0475,0.0022,9.9000,67.6297,42.0000,1.5000,0.0064,12.5000
188,7,0.0010,2.7143,0.0364,0.0024,8.4286,101.3757,46.1429,1.0000,0.0090,18.0000
189,11,0.0105,3.6364,0.0544,0.0097,10.2727,121.9950,41.1818,1.3636,0.0057,11.3636
190,11,0.0096,3.4545,0.0702,0.0017,8.7273,63.3433,41.0000,1.3636,0.0056,11.3636
191,9,0.0079,2.5556,0.0446,0.0018,9.4444,21.7618,42.0000,1.6667,0.0068,13.8889
192,11,0.0118,3.5455,0.0657,0.0095,9.9091,49.1647,41.0000,1.7273,0.0051,11.2727
193,6,0.0131,5.3333,0.0792,0.0133,9.6667,106.6778,42.0000,1.8333,0.0091,20.8333
194,9,0.0211,4.7778,0.1013,0.0082,10.4444,92.8053,40.0000,2.0000,0.0061,13.8889
195,12,0.0126,3.1667,0.0553,0.0016,12.2500,72.1488,42.0833,1.4167,0.0043,10.5833
196,14,0.0115,2.9286,0.0595,0.0016,8.0000,85.2635,40.0714,1.6429,0.0037,9.0714
197,11,0.0119,2.7273,0.0660,0.0006,7.4545,15.9220,39.0909,1.5455,0.0049,11.4545
198,13,0.0092,2.6923,0.0587,0.0005,6.7692,35.9560,36.0000,1.4615,0.0042,9.6923
199,15,0.0100,3.0000,0.0575,0.0047,11.4000,56.0837,35.0000,1.5333,0.0036,8.3333
